Название аптеки,Адрес,Телефон,Время работы,Цена
Добрыя Леки Аптека N8 Либерти-фарм ООО,"Минск-Ленинский, ул. Янки Лучины, 44-1, маг. Соседи",моб. 5355757,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Оптика Просвет N2,"Минск-Советский, ул. Мирошниченко, 3",(044) 7260903,"09.00-19.00, пн.–пт.; 09.00-18.00, сб.; 09.00-18.00, вс.",
АльфаАптека Аптека N14 ОДО Меджел,"Могилев, ул. Минское Шоссе, 40",(0222) 731672,"08.00-22.00, пн.–пт.; 08.00-22.00, сб.; 08.00-22.00, вс.; Санитарные часы: первый вторник месяца с 8.00 до 10.00;",
Гомельское УП Фармация Аптека N208,"Брагин, д. Старые Храковичи, ул. Чапаева, 38А",(02344) 34307,"14.00-18.00, пн.; 09.00-13.00, вт.; 14.00-18.00, ср.; 09.00-13.00, чт.; 14.00-18.00, пт.; выходной, сб.; выходной, вс.",
Брестское РУП Фармация Аптека N22,"Каменец, д. Верховичи, ул. Пограничная, 25, в здании амбулатории",(01631) 94864,"08.30-17.00, пн.–пт.; 09.00-11.30, сб.; выходной, вс.; Перерыв в будние дни: 13:00-14:00;                                                         Праздничные дни: выходной;",
Аптека Бережливых N2  Пилюля ООО,"Минск-Московский, пр-т Дзержинского, 19-1503",(017) 2704930,"08.00-23.00, пн.–пт.; 08.00-23.00, сб.; 08.00-23.00, вс.; Санитарный час: каждый второй понедельник месяца с 9:00 до 12:00;",
Зялёная крама Торговый объект N750 ООО Здоровое решение,"Лида, ул. Качана, 29, островок в ТЦ Лида Парк",7822 - А1+mts,"10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",
Добрыя Леки Аптека N104 ООО Аптека групп Центр,"Молодечно, ул. Космонавтов, 8Б, пом. 3, маг. Маяк",моб. 5355757,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Белана ООО ПКФ Аптека N8,"Брест, ул. Ленинградская, 35, маг. Санта",(0162) 561465,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарные часы: последнее воскресенье каждого месяца с 9:00 до 11:00;",
Добрыя Леки-Эканом Аптека N47 ЗАО Аптека групп Север,"Витебск, ул. Анатолия Богатырева, 7Б-2, маг. Пинскдрев",моб. 5355757,"09.00-21.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.",
Зялёная крама Торговый объект N58 ООО Ирина-Фарм,"Минск-Ленинский, пр-т Рокоссовского, 2, ТЦ Гиппо",7822 - А1+mts,"10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",
АльфаАптека Аптека N7 Табина ООО,"Минск-Заводской, ул. Уборевича, 144В, Чижовский двор",(017) 2216892,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарные часы: второй понедельник месяца  с 9.00 до 11.00;",
Медпростор Салон медтехники и ортопедии N11,"Жлобин, ул. Первомайская, 51",(2334) 22075,"09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.",
Брестское РУП Фармация Аптека N219,"Пинск, ул. Иркутско-Пинской Дивизии, 48, в здании поликлиники",(0165) 657940,"08.00-19.30, пн.–пт.; 09.00-14.30, сб.; выходной, вс.; Праздничные дни: выходной;",
Наша аптека N6 Аптечное дело ООО,"Барановичи, ул. Притыцкого, 77А",(0163) 649936,"09.00-20.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.",
Зялёная крама Торговый объект N52 ООО Ирина-Фарм,"Минск-Октябрьский, ул. Могилевская, 2, 3-я детская пол-ка",7822 - А1+mts,"8.30-19.30, пн.–пт.; выходной, сб.; выходной, вс.",
Добрыя Леки-Эканом Аптека N64 ООО Аптека групп Центр,"Минск-Фрунзенский, ул. Евфросиньи Полоцкой, 1-112",моб. 5355757,"09.00-21.00, пн.–пт.; 10.00-20.00, сб.; 09.00-20.00, вс.",
АльфаАптека Аптека N7 ОДО Аленфарм плюс,"Минск-Фрунзенский, ул. Кунцевщина, 2А-9",(017) 2474817,"08.00-23.00, пн.–пт.; 08.00-23.00, сб.; 08.00-23.00, вс.; Санитарные часы: вторая среда месяца с 8.00 до 11.00;",
Зялёная крама Торговый объект N754 ООО Ирина-Фарм,"Солигорск, ул. Железнодорожная, 21А, ТЦ Грин, павильон напротив касс",7822 - А1+mts,"10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",
Искамед ООО Аптека N112,"Барановичи, ул. Курчатова, 1",(0163) 607125,"09.00-20.00, пн.–пт.; 09.00-19.00, сб.; 09.00-19.00, вс.; Санитарные часы: четвертый понедельник каждого месяца с 9:00 до 11:00;",
Зялёная крама Торговый объект N727 ООО Ирина-Фарм,"Гродно, ул. Соломовой, 112, ТЦ Алми",7822 - А1+mts,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Медтехника УП Магазин Оптика N9,"Гомель, ул. Клермон-Ферран, 6",(0232) 280209,"09.00-17.30, пн.–пт.; выходной, сб.; выходной, вс.; обед: 13:00-13:30; праздничные дни: выходной",
АльфаАптека Аптека N13 ГаленаФарм ООО,"Брест, ул. Костюшко, 1",(0162) 555995,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарные часы: первая среда месяца с 9.00 до 11.00;",
Зялёная крама Торговый объект N74 ООО Ирина-Фарм,"Минск-Фрунзенский, ул. Каменногорская, 3, ТЦ Корона, островок",7822 - А1+mts,"10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",
АльфаАптека Аптека N39 Фитобел ООО,"Минск-Московский, ул. Каролинская, 5, магазин Green",(017) 3770690,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарные часы: второй вторник месяца с 9.00 до 11.00;",
Гродненское РУП Фармация Аптека N257,"Островец, ул. Энергетиков, 1/4",(01591) 28257,"09.00-17.00, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной",
Белфармация Аптека N91,"Минск-Фрунзенский, ул. Одинцова, 36/1-8Н",(017) 3774158,"08.00-21.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.; Санитарные часы: четвертый четверг каждого месяца с 8:00 до 12:00;",
Витебское УП Фармация Аптека N248,"Витебск, д. Малые Летцы, сан. Летцы",(0212) 697406,"08.50-16.50, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной;",
Добрыя Леки Аптека N40 ООО Аптека групп Центр,"Минск-Фрунзенский, ул. Горецкого, 27-2",моб. 5355757,"09.00-21.00, пн.–пт.; 10.00-19.00, сб.; 10.00-19.00, вс.",
АльфаАптека Аптека N19 ЗАО Компания Интерфарм,"Витебск, ул. Чкалова, 34",(0212) 379822,"08.00-21.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.; Санитарные часы: последняя суббота месяца с 9.00 до 11.00;",
Тишас ОДО Аптека N25,"Гомель, ул. Петруся Бровки, 45А",(029) 1470733,"09.00-21.00, пн.–пт.; 10.00-18.00, сб.; 10.00-18.00, вс.",
Медтехника РУП Магазин Оптика N1,"Могилев, ул. Челюскинцев, 59а",(0222) 628809,"08.30-19.00, пн.–пт.; 09.00-17.00, сб.; выходной, вс.",
АльфаАптека Аптека N9 ОДО Аленфарм плюс,"Новополоцк, ул. Молодежная, 166-133",(0214) 525428,"10.00-18.00, пн.–пт.; выходной, сб.; выходной, вс.; Санитарные часы: первая среда каждого месяца с 8.00 до 10.00;",
Новамедика Аптека N15,"Горки, ул. Мира, 35",(02233) 71504,"09.00-19.00, пн.–пт.; 09.00-16.00, сб.; 09.00-16.00, вс.; Санитарный день - 3-й четверг месяца",
Искамед ООО Аптека N113,"Минск-Центральный, ул. Нововиленская, 27, БЦ Левада",(017) 2316022,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарные часы: четвертый вторник каждого месяца с 8:00 до 10:00;",
Медтехника 100-летие Магазин N1,"Минск-Московский, ул. Каролинская, 2",(017) 3662923,"09.00-20.00, пн.–пт.; 10.00-18.00, сб.; выходной, вс.",
Искамед ООО Аптека N117,"Жодино, ул. 50 лет Октября, 2",(0177) 565335,"09.00-20.00, пн.–пт.; 09.00-19.00, сб.; 09.00-19.00, вс.; Санитарные часы: четвертый вторник каждого месяца с 9:00 до 12:00;",
Медтехника УП Магазин N3,"Витебск, ул. Лазо, 108",(0212) 675806,"09.00-17.00, пн.; 08.00-17.00, вт.; 08.00-17.00, ср.; 08.00-17.00, чт.; 07.40-16.00, пт.; 09.00-15.00, сб.; выходной, вс.",
АльфаАптека Аптека N27 Не Ска ООО,"Речица, ул. Хлусса, 59А-1",(02340) 77102,"09.00-20.00, пн.–пт.; 10.00-19.00, сб.; 10.00-18.00, вс.; Санитарные часы: первый четверг месяца с 9.00 до 11.00;",
Брестское РУП Фармация Аптека N141,"Столин, аг. Струга, ул. Советская, 43",(01655) 77217,"08.30-16.30, пн.–пт.; 08.30-13.30, сб.; выходной, вс.; Перерыв в понедельник-пятницу: 13:00-14:00;
Праздничные дни: выходной",
АльфаАптека Аптека N24 Табина ООО,"Минск-Партизанский, ул. Первомайская, 18, пом. 4Н",(017) 3189147,"08.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарные часы: второй понедельник месяца с 8.00 до 10.00;",
Могилевское РУП Фармация Аптека N228,"Могилев, ул. Якубовского, 44, ТЦ Авеню",(0222) 429233,"09.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.; Праздничные дни: 9.00 - 22.00;",
ADEL Аптека N78 ЗАО Аптека групп Юг,"Гомель, ул. Мазурова, 28В, БЦ Астория",(044) 5034264,"08.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Добрыя Леки-Эканом Аптека N1 ЗАО Аптека групп Юг,"Могилев, ул. Первомайская, 31-233",моб. 5355757,"08.00-21.00, пн.–пт.; 08.00-20.00, сб.; 08.00-20.00, вс.",
